CNPJ_COMPANHIA,DATA_REFERENCIA,NOME_COMPANHIA,DATA_FIM_EXERCICIO_SOCIAL,ORGAO_ADMINISTRACAO,QTD_MEMBROS_REMUNERADOS_ACAO,DILUICAO_POTENCIAL,PRECO_MEDIO_PONDERADO_OPCOES_EM_ABERTO,PRECO_MEDIO_PONDERADO_OPCOES_PERDIDAS,PRECO_MEDIO_PONDERADO_OPCOES_EXERCIDAS,QTD_MEMBROS_REMUNERADOS_MIN_MAX_MEDIA,VALOR_MAIOR_REMUNERACAO,VALOR_MENOR_REMUNERACAO,VALOR_MEDIO_REMUNERACAO,OBSERVACAO_x,QTD_MEMBROS_REMUNERADOS_TOTAL,SALARIO,BENEFICIOS_DIRETOS_INDIRETOS,PARTICIPACOES_COMITES,OUTROS_VALORES_FIXOS,DESCRICAO_OUTROS_REMUNERACOES_FIXAS,BONUS,PARTICIPACAO_RESULTADOS,PARTICIPACAO_REUNIOES,OUTROS_VALORES_VARIAVEIS,COMISSOES,DESCRICAO_OUTROS_REMUNERACOES_VARIAVEIS,POS_EMPREGO,CESSACAO_CARGO,BASEADA_ACOES,OBSERVACAO_y,TOTAL_REMUNERACAO_ORGAO,QTD_MEMBROS_REMUNERADOS_VARIAVEL,BONUS_VALOR_MINIMO,BONUS_VALOR_MAXIMO,BONUS_VALOR_METAS_ATINGIDAS,BONUS_VALOR_EFETIVO,PARTICIPACAO_VALOR_MINIMO,PARTICIPACAO_VALOR_MAXIMO,PARTICIPACAO_VALOR_METAS_ATINGIDAS,PARTICIPACAO_VALOR_EFETIVO,SETOR_DE_ATIVDADE,ANO_REFER
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2024-12-31,Diretoria Estatutária,,,,,,31.58,2018881.45,1216825.06,1518147.06,"Para o exercício de 2024, o valor médio apurado é a razão de R$ 58.327.210,06 por 38,42.PROBLEMA SISTÊMICO: O número de membros remunerados correto é 38,42, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",31.58,25591347.08,5400912.15,0.0,0.0,Não aplicavel,0.0,0.0,0.0,12656966.92,0.0,"Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.O número total de remunerados",0.0,589579.42,14088404.49,"O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.Referem-se a parcelas da Remuneração Variável dos Administrados (RVA).O número de membros remunerados correto é 38,42, mas o sistema não permite a inserção correta, pois não considera a rotatividade de membros nas empresas.",58327210.06,31.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2024
00.000.000/0001-91,2025-12-31,BCO BRASIL S.A.,2025-12-31,Diretoria Estatutária,,,,,,,,,,,33.0,31072831.79,15033556.04,0.0,0.0,Não aplicável.,0.0,0.0,0.0,14341306.98,0.0,Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário.,0.0,14341306.98,14341306.98,"1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",89130308.77,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bancos,2025
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2022-12-31,Conselho Fiscal,,,,,,5.0,127838.16,127838.16,127838.16,,5.0,639190.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",639190.8,,,,,,,,,,Bancos,2022
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2023-12-31,Conselho Fiscal,,,,,,4.92,135419.04,11284.92,135327.29,,4.92,665810.28,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.,665810.28,,,,,,,,,,Bancos,2023
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2024-12-31,Conselho Fiscal,,,,,,4.92,141145.33,11762.11,117142.97,Valor médio calculado considerando verbas rescisórias pagas ao longo do exercício.,4.92,576343.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",576343.4,,,,,,,,,,Bancos,2024
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2022-12-31,Conselho de Administração,,,,,,7.58,127838.16,10653.18,111029.18,,7.58,841601.22,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",841601.22,,,,,,,,,,Bancos,2022
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2023-12-31,Conselho de Administração,,,,,,7.0,135419.04,135419.04,135419.04,,7.0,947933.28,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.,947933.28,,,,,,,,,,Bancos,2023
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2024-12-31,Conselho de Administração,,,,,,7.0,141145.32,141145.32,141145.32,Valor médio calculado considerando verbas rescisórias pagas ao longo do exercício.,7.0,988017.24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",988017.24,,,,,,,,,,Bancos,2024
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2022-12-31,Diretoria Estatutária,,,,,,9.5,1104517.2,16888.92,906629.32,,9.5,4646069.76,0.0,0.0,0.0,,0.0,3966908.81,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",8612978.57,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3966908.81,Bancos,2022
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2023-12-31,Diretoria Estatutária,,,,,,9.67,1140023.28,5392.6,696504.98,,9.67,4891616.82,0.0,0.0,0.0,,0.0,1843586.38,0.0,0.0,0.0,,0.0,0.0,0.0,"- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.- O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. - A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",6735203.2,9.67,0.0,0.0,0.0,0.0,0.0,0.0,1843586.38,0.0,Bancos,2023
00.000.208/0001-00,2025-12-31,BRB BANCO DE BRASILIA S.A.,2024-12-31,Diretoria Estatutária,,,,,,8.67,1023169.67,3828.75,689189.73,Valor médio calculado considerando verbas rescisórias pagas ao longo do exercício.,8.67,4313467.08,0.0,0.0,0.0,,0.0,1661807.89,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",5975274.97,8.67,0.0,0.0,0.0,0.0,0.0,1661807.89,1661807.89,0.0,Bancos,2024
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2022-12-31,Conselho Fiscal,,,,,,4.92,75859.76,68045.01,76468.72,"O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.",4.92,376226.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",376226.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2022
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2023-12-31,Conselho Fiscal,,,,,,5.0,146403.75,146403.75,143009.09,"O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.",5.0,715045.43,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.",715045.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2023
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2024-12-31,Conselho Fiscal,,,,,,4.33,151909.09,151009.09,151045.96,"O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2025-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",4.33,654028.78,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-,654028.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2024
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2025-12-31,Conselho Fiscal,,,,,,,,,,,5.0,794087.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,794087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2025
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2022-12-31,Conselho de Administração,,,,,,7.0,65284.32,65284.32,65689.2,"Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado.O valor do Presidente do Conselho de Administração é distinto dos demais conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.",7.0,459824.38,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",459824.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2022
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2023-12-31,Conselho de Administração,0.0,0.0,0.0,0.0,0.0,8.17,1673270.64,1573274.64,1473159.39,"Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado. O valor do Presidente do Conselho de Administração é distinto dos demais conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.",8.17,6380498.0,0.0,1735486.14,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3919728.12,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",12035712.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2023
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2024-12-31,Conselho de Administração,0.0,0.0,0.0,0.0,0.0,7.0,1793282.64,1673282.64,1620246.29,"Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado. O valor do Presidente do Conselho de Administração é distinto dos demais Conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2025-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",7.0,7322000.01,0.0,99996.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,3919728.12,-,11341724.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2024
00.001.180/0001-26,2025-12-31,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2025-12-31,Conselho de Administração,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,14203141.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,14203141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energia Elétrica,2025
