CNPJ_Companhia,Data_Referencia,Versao,ID_Documento,NOME_COMPANHIA,Data_Inicio_Exercicio_Social,Data_Fim_Exercicio_Social,Total_Remuneracao,ORGAO_ADMINISTRACAO,Numero_Membros,TOTAL_REMUNERACAO_ORGAO,NUM_MEMBROS_TOTAL,REM_FIXA_SALARIO,REM_FIXA_BENEFICIOS,REM_FIXA_COMITES,REM_FIXA_OUTROS,Descricao_Outros_Remuneracoes_Fixas,REM_VAR_BONUS,REM_VAR_PLR,REM_VAR_REUNIOES,REM_VAR_OUTROS,REM_VAR_COMISSOES,Descricao_Outros_Remuneracoes_Variaveis,REM_POS_EMPREGO,REM_CESSACAO_CARGO,REM_ACOES_BLOCO3,Observacao,NUM_MEMBROS_INDIVIDUAL,REM_MAXIMA_INDIVIDUAL,REM_MINIMA_INDIVIDUAL,REM_MEDIA_INDIVIDUAL,NUM_MEMBROS_BONUS_PLR,BONUS_MIN,BONUS_MAX,BONUS_ALVO,BONUS_PAGO,PLR_MIN,PLR_MAX,PLR_ALVO,PLR_PAGO,ANO_REFER,UF_SEDE,SETOR_ATIVIDADE,CONTROLE_ACIONARIO
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2025-01-01,2025-12-31,90731029.45,DIRETORIA ESTATUTÁRIA,33.0,89130308.77,33.0,31072831.79,15033556.04,0.0,0.0,Não aplicável.,0.0,0.0,0.0,14341306.98,0.0,Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário.,0.0,14341306.98,14341306.98,"1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",,,,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,DF,Bancos,ESTATAL
00.000.000/0001-91,2025-12-31,17,154804,BCO BRASIL S.A.,2025-01-01,2025-12-31,90731029.45,CONSELHO FISCAL,5.0,470800.2,5.0,470800.2,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,0.0,0.0,Não aplicável.,0.0,0.0,0.0,"1) Trata-se de previsão para 2025.2) O número total de membros de cada órgão (item ""b"" acima"") corresponde à média anual do número de membros de cada órgão apurado mensalmente.",,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2022-01-01,2022-12-31,10093770.59,CONSELHO FISCAL,5.0,639190.8,5.0,639190.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",5.0,127838.16,127838.16,127838.16,,,,,,,,,,2022,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2022-01-01,2022-12-31,10093770.59,DIRETORIA ESTATUTÁRIA,10.0,8612978.57,9.5,4646069.76,0.0,0.0,0.0,,0.0,3966908.81,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",9.5,1104517.2,16888.92,906629.32,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3966908.81,2022,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2022-01-01,2022-12-31,10093770.59,CONSELHO DE ADMINISTRAÇÃO,9.0,841601.22,7.58,841601.22,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",7.58,127838.16,10653.18,111029.18,,,,,,,,,,2022,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2023-01-01,2023-12-31,8348946.76,CONSELHO FISCAL,5.0,665810.28,4.92,665810.28,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.,4.92,135419.04,11284.92,135327.29,,,,,,,,,,2023,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2023-01-01,2023-12-31,8348946.76,DIRETORIA ESTATUTÁRIA,10.0,6735203.2,9.67,4891616.82,0.0,0.0,0.0,,0.0,1843586.38,0.0,0.0,0.0,,0.0,0.0,0.0,"- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.- O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. - A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",9.67,1140023.28,5392.6,696504.98,9.67,0.0,0.0,0.0,0.0,0.0,0.0,1843586.38,0.0,2023,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2023-01-01,2023-12-31,8348946.76,CONSELHO DE ADMINISTRAÇÃO,9.0,947933.28,7.0,947933.28,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.,7.0,135419.04,135419.04,135419.04,,,,,,,,,,2023,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2024-01-01,2024-12-31,7539635.61,CONSELHO FISCAL,5.0,576343.4,4.92,576343.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",4.92,141145.33,11762.11,117142.97,,,,,,,,,,2024,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2024-01-01,2024-12-31,7539635.61,DIRETORIA ESTATUTÁRIA,10.0,5975274.97,8.67,4313467.08,0.0,0.0,0.0,,0.0,1661807.89,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",8.67,1023169.67,3828.75,689189.73,8.67,0.0,0.0,0.0,0.0,0.0,1661807.89,1661807.89,0.0,2024,DF,Bancos,ESTATAL
00.000.208/0001-00,2025-12-31,23,154807,BRB BANCO DE BRASILIA S.A.,2024-01-01,2024-12-31,7539635.61,CONSELHO DE ADMINISTRAÇÃO,9.0,988017.24,7.0,988017.24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.",7.0,141145.32,141145.32,141145.32,,,,,,,,,,2024,DF,Bancos,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2022-01-01,2022-12-31,8921048.92,CONSELHO DE ADMINISTRAÇÃO,9.58,459824.38,7.0,459824.38,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",7.0,65284.32,65284.32,65689.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2022-01-01,2022-12-31,8921048.92,DIRETORIA ESTATUTÁRIA,6.33,8084998.44,6.33,4542661.99,723545.97,0.0,0.0,,1671703.65,0.0,0.0,0.0,0.0,,764147.14,0.0,382939.69,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP. A remuneração baseada em ações paga no exercício de 2022 ocorreu no âmbito do modelo conhecido como ""Phantom Share"", sem entrega de ações escriturais.",6.33,1226608.08,928300.79,1277250.95,6.33,0.0,3575071.59,3575071.59,1671703.65,0.0,0.0,0.0,0.0,2022,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2022-01-01,2022-12-31,8921048.92,CONSELHO FISCAL,4.92,376226.1,4.92,376226.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",4.92,75859.76,68045.01,76468.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2023-01-01,2023-12-31,92349167.54,CONSELHO FISCAL,5.0,715045.43,5.0,715045.43,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.",5.0,146403.75,146403.75,143009.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2023-01-01,2023-12-31,92349167.54,DIRETORIA ESTATUTÁRIA,9.83,79598409.85,9.83,14665902.31,2514359.88,0.0,0.0,,35157652.99,0.0,0.0,0.0,0.0,,2036240.02,550000.0,24674254.65,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",9.83,19342394.01,4960915.75,8097498.46,9.83,0.0,35157652.99,35157652.99,35157652.99,0.0,0.0,0.0,0.0,2023,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2023-01-01,2023-12-31,92349167.54,CONSELHO DE ADMINISTRAÇÃO,9.0,12035712.26,8.17,6380498.0,0.0,1735486.14,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3919728.12,"O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2025- CVM/SEP.",8.17,1673270.64,1573274.64,1473159.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2024-01-01,2024-12-31,73052804.5,CONSELHO FISCAL,4.33,654028.78,4.33,654028.78,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,-,4.33,151909.09,151009.09,151045.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2024-01-01,2024-12-31,73052804.5,DIRETORIA ESTATUTÁRIA,11.75,61057051.59,11.75,17985833.34,1222175.71,0.0,0.0,-,25194362.5,0.0,0.0,0.0,0.0,-,1984810.87,770000.0,13899869.17,-,11.75,15665277.6,3175319.01,5196344.85,11.75,0.0,29395950.0,29395950.0,25194363.0,0.0,0.0,0.0,0.0,2024,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2024-01-01,2024-12-31,73052804.5,CONSELHO DE ADMINISTRAÇÃO,9.0,11341724.13,7.0,7322000.01,0.0,99996.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,3919728.12,-,7.0,1793282.64,1673282.64,1620246.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2025-01-01,2025-12-31,82719936.0,CONSELHO DE ADMINISTRAÇÃO,10.0,14203141.0,10.0,14203141.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2025-01-01,2025-12-31,82719936.0,DIRETORIA ESTATUTÁRIA,12.0,67722708.0,12.0,19058094.0,1317727.0,0.0,0.0,,30575974.0,0.0,0.0,0.0,0.0,,2263450.0,0.0,14507463.0,,,,,,12.0,0.0,30575974.0,30575974.0,0.0,0.0,0.0,0.0,0.0,2025,RJ,Energia Elétrica,ESTATAL
00.001.180/0001-26,2025-12-31,14,154746,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2025-01-01,2025-12-31,82719936.0,CONSELHO FISCAL,5.0,794087.0,5.0,794087.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,RJ,Energia Elétrica,ESTATAL
00.070.698/0001-11,2025-12-31,5,152231,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,2022-01-01,2022-12-31,3666924.0,CONSELHO FISCAL,5.0,477914.0,5.0,393631.0,78726.0,0.0,5557.0," Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos)",0.0,0.0,0.0,0.0,0.0,A Companhia não adota aos Fiscais a Remuneração Variável.,0.0,0.0,0.0,0,5.0,74410.0,74410.0,74410.0,,,,,,,,,,2022,DF,Energia Elétrica,ESTATAL
00.070.698/0001-11,2025-12-31,5,152231,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,2022-01-01,2022-12-31,3666924.0,DIRETORIA ESTATUTÁRIA,4.0,2423600.0,4.0,1436679.0,986921.0,0.0,0.0, Pró-labore (salário)  Benefícios (Diretores e Diretores empregados)  Encargos Sociais e  Outros.,0.0,0.0,0.0,0.0,0.0,A Companhia não adota aos Administradores a Remuneração Variável.,0.0,0.0,0.0,,4.0,199964.0,115850.0,153787.0,,,,,,,,,,2022,DF,Energia Elétrica,ESTATAL
00.070.698/0001-11,2025-12-31,5,152231,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,2022-01-01,2022-12-31,3666924.0,CONSELHO DE ADMINISTRAÇÃO,9.0,765410.0,9.0,629809.0,125961.0,0.0,9640.0,Não há outras remunerações fixas além do pró-labore.,0.0,0.0,0.0,0.0,0.0,A Companhia não adota aos Administradores a Remuneração Variável.,0.0,0.0,0.0,,9.0,74410.0,74410.0,74410.0,,,,,,,,,,2022,DF,Energia Elétrica,ESTATAL
00.070.698/0001-11,2025-12-31,5,152231,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,2023-01-01,2023-12-31,4791273.0,DIRETORIA ESTATUTÁRIA,4.0,3362736.0,4.0,1765796.0,946935.0,0.0,650005.0, Pró-labore (salário)  Benefícios (Diretores e Diretores empregados)  Encargos Sociais e  Outros.,0.0,0.0,0.0,0.0,0.0,A Companhia não adota aos Administradores a Remuneração Variável.,0.0,0.0,0.0,,4.0,425547.0,382992.0,393631.0,,,,,,,,,,2023,DF,Energia Elétrica,ESTATAL
00.070.698/0001-11,2025-12-31,5,152231,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,2023-01-01,2023-12-31,4791273.0,CONSELHO FISCAL,5.0,523250.0,5.0,441208.0,0.0,0.0,82042.0," Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos).",0.0,0.0,0.0,0.0,0.0,A Companhia não adota aos Administradores a Remuneração Variável.,0.0,0.0,0.0,,5.0,88242.0,88242.0,88242.0,,,,,,,,,,2023,DF,Energia Elétrica,ESTATAL
